14.01.2018,18:55,Наезд на пешехода,"Республика Марий Эл, Советский, пгт Советский",ул Свердлова,22А,,,,48.47124,56.760251,0,0,1,0
12.01.2018,06:40,Столкновение,"Республика Марий Эл, Советский",,,Йошкар-Ола - Уржум,38,918,48.440099,56.746543,0,0,1,0
01.01.2018,03:00,Наезд на пешехода,"Республика Марий Эл, Советский, пгт Советский",ул Котовского,2,,,,48.4878,56.7592,0,0,1,0
27.12.2018,23:45,Столкновение,"Республика Марий Эл, Сернурский",,,Сернур - Казанское - Кукнур,10,450,49.122877,57.001064,1,0,1,0
06.12.2018,15:10,Наезд на стоящее ТС,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,84,100,49.093738,56.909957,0,0,2,0
21.11.2018,17:00,Столкновение,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,79,800,49.029536,56.89923,0,0,2,0
12.11.2018,16:50,Наезд на велосипедиста,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,99,220,49.295268,56.870533,0,0,1,0
02.11.2018,16:35,Наезд на пешехода,"Республика Марий Эл, Сернурский, пгт Сернур",ул Коммунистическая,95,,,,49.143713,56.932484,0,0,1,0
21.10.2018,14:00,Наезд на препятствие,"Республика Марий Эл, Сернурский, д Шукшиер",,,,0,0,49.145536,56.969638,0,0,1,0
20.10.2018,13:30,Столкновение,"Республика Марий Эл, Сернурский, пгт Сернур",,,Сернур - Казанское - Кукнур,3,850,49.150386,56.945103,0,0,1,0
07.10.2018,03:10,Опрокидывание,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,102,210,49.32827,56.860329,0,0,1,0
23.09.2018,13:50,Наезд на велосипедиста,"Республика Марий Эл, Сернурский, пгт Сернур",ул Коммунистическая,91,,,,49.144635,56.933532,0,0,1,0
03.08.2018,05:30,Опрокидывание,"Республика Марий Эл, Сернурский, д Большой Шокшем",ул Большой Шокшем,34,,,,48.979969,56.967603,0,0,1,0
20.07.2018,22:10,Столкновение,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,80,52,49.031746,56.899863,1,0,7,0
18.07.2018,03:50,Наезд на препятствие,"Республика Марий Эл, Сернурский, пгт Сернур",ул Советская,8,,,,49.150257,56.943921,0,0,2,0
09.06.2018,09:55,Наезд на пешехода,"Республика Марий Эл, Сернурский, пгт Сернур",ул Коммунистическая,118,,,,49.140161,56.928919,0,0,1,0
08.06.2018,14:56,Наезд на велосипедиста,"Республика Марий Эл, Сернурский, с Казанское",ул Кооперативная,3,,,,49.129143,57.146065,0,0,1,0
07.06.2018,14:30,Столкновение,"Республика Марий Эл, Сернурский, пгт Сернур",ул Коммунистическая,110А,,,,49.140515,56.929305,0,0,1,0
23.02.2018,21:00,Наезд на препятствие,"Республика Марий Эл, Сернурский, д Кочанур",ул Кочанур,1,Сернур - Калеево,,,49.223485,56.935943,1,0,0,0
18.02.2018,12:45,Столкновение,"Республика Марий Эл, Сернурский",,,Йошкар-Ола - Уржум,84,600,49.1036,56.9122,0,0,3,0
16.02.2018,10:50,Столкновение,"Республика Марий Эл, Сернурский, пгт Сернур",ул Строителей,8,Йошкар-Ола - Уржум,,,49.151855,56.924917,0,0,1,0
11.01.2018,11:45,Столкновение,"Республика Марий Эл, Сернурский",,,Сернур - Казанское - Кукнур,6,450,49.136454,56.963405,0,0,1,0
09.01.2018,17:00,Наезд на пешехода,"Республика Марий Эл, Сернурский, с Марисола",ул Центральная,8,Сернур - Казанское - Кукнур,,,49.09,57.0389,0,0,1,0
30.11.2018,13:30,Наезд на пешехода,"Республика Марий Эл, Параньгинский, пгт Параньга",ул Колхозная,11,,,,49.400572,56.704794,0,0,1,0
29.11.2018,15:45,Столкновение,"Республика Марий Эл, Параньгинский",,,Елеево - Параньга,13,370,49.400926,56.739333,0,0,3,0
25.11.2018,09:25,Наезд на препятствие,"Республика Марий Эл, Параньгинский, д Ишимово",,,Елеево - Мари-Турек - Лопово,4,150,49.491005,56.841227,0,0,1,0
23.10.2018,06:18,Столкновение,"Республика Марий Эл, Параньгинский",,,Параньга - Уньжинский,2,950,49.425344,56.690391,0,0,3,0
07.10.2018,00:10,Наезд на препятствие,"Республика Марий Эл, Параньгинский, пгт Параньга",ул Чапаева,4,,,,49.396527,56.708628,0,0,2,0
16.09.2018,21:30,Опрокидывание,"Республика Марий Эл, Параньгинский",,,,0,0,49.582586,56.751405,0,0,1,0
12.08.2018,14:10,Столкновение,"Республика Марий Эл, Параньгинский",,,Елеево - Параньга,12,310,49.398104,56.745817,0,0,4,0
22.06.2018,03:05,Опрокидывание,"Республика Марий Эл, Параньгинский, пгт Параньга",,,Объездная автодорога пгт Параньга,8,350,49.383674,56.704894,0,0,2,0
07.06.2018,07:40,Опрокидывание,"Республика Марий Эл, Параньгинский",,,Параньга - Алашайка - Портчара,4,260,49.460213,56.76031,0,0,1,0
11.03.2018,16:00,Наезд на препятствие,"Республика Марий Эл, Параньгинский, пгт Параньга",ул Колхозная,21,,,,49.393009,56.705077,0,0,1,0
30.01.2018,09:15,Столкновение,"Республика Марий Эл, Параньгинский",,,Йошкар-Ола - Уржум,103,200,49.352752,56.853151,0,0,1,0
21.12.2018,11:40,Столкновение,"Республика Марий Эл, Оршанский, пгт Оршанка",ул Пограничная,44,Оршанка - Пектубаево - Новый Торъял,,,47.897612,56.917635,0,0,1,0
19.12.2018,07:30,Столкновение,"Республика Марий Эл, Оршанский",,,Оршанка - Пектубаево - Новый Торъял,1,920,47.914639,56.928023,0,0,1,0
05.12.2018,08:24,Столкновение,"Республика Марий Эл, Оршанский",,,Оршанка - Пектубаево - Новый Торъял,16,30,47.958198,56.933514,0,0,1,0
05.12.2018,02:50,Наезд на препятствие,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),123,2,47.901839,56.899477,0,0,2,0
28.11.2018,15:40,Наезд на пешехода,"Республика Марий Эл, Оршанский",,,Воробьи - Табашино,3,943,47.809174,56.974047,0,0,1,0
19.11.2018,11:30,Опрокидывание,"Республика Марий Эл, Оршанский",,,Оршанка - Пектубаево - Новый Торъял,13,637,48.17492,56.942306,0,0,1,0
